Department,Designation,Parameters,KRA (S.M.A.R.T GOALS),KPIs (Measuring Metrics & Data),Suggested Weightage,Comments
INFRA,Senior Executive,Internal / External Customer,Internal Team Coordination & Support CSAT,"• Achieve Internal CSAT Score >= 8.8/10 from immediate supervisors and internal peers. • Provide prompt support to senior engineers, helpdesk staff, and cross-functional teams.",15.00,
INFRA,Senior Executive,Quality & Accuracy,Operational Quality Guidelines & Error Reduction,"• Maintain zero repeat errors in system configuration, task execution, or data logging. • Strictly comply with operational checklists, system runbooks, and quality guidelines.",15.00,
INFRA,Senior Executive,System Maintenance,Ticketing Portal Data Entry & System Log Maintenance,"• Log 100% of infrastructure tickets, system changes, and status updates accurately in Jira/Zoho. • Maintain complete and up-to-date operational logs for daily supervisor verification.",10.00,
INFRA,Senior Executive,Process & Compliance,SOP Adherence & Information Security Compliance,"• Strictly follow operational SOPs, ISO 27001 data security norms, and company policies. • Ensure zero unauthorized system access or information security policy non-compliance.",10.00,
INFRA,Senior Executive,Issue Resolution,First-Contact Resolution & Ticket Escalation TAT,• Resolve routine infrastructure tickets within 30 minutes turnaround time. • Escalate complex technical blockers to senior engineers promptly with detailed diagnostic logs.,10.00,
INFRA,Senior Executive,Learning & Discipline,"Role Training Completion, Attendance & Punctuality",• Complete mandatory role-based technical training paths and certifications on schedule. • Maintain 100% attendance punctuality and adhere to workplace discipline standards.,10.00,
INFRA,Senior Executive,Daily Execution,Senior Infrastructure Task Execution & Operational Output SLA,"• Process daily infrastructure tickets, user access requests, and system tasks with 99%+ accuracy. • Complete assigned operational deliverables within established turnaround time (TAT) bounds.",15.00,
INFRA,Senior Linux Administrator,Internal / External Customer,External Client OS Stability & Infrastructure CSAT,• Achieve External Client CSAT Score >= 8.8/10 on OS environment stability and uptime. • Support client infrastructure audits and technical environment validations.,15.00,
INFRA,Senior Linux Administrator,Internal / External Customer,"Internal Development, QA & Support Team CSAT","• Achieve Internal CSAT Score >= 8.8/10 from Application Development, QA & DevOps leads. • Provision Linux server instances and handle user access requests within SLA bounds.",15.00,
INFRA,Senior Linux Administrator,Os Availability,Senior Linux / OS Infrastructure Availability & Patch Management,• Maintain 99.95% server availability across RHEL/CentOS/Ubuntu enterprise environments. • Execute monthly OS kernel patching and vulnerability remediations with zero outage impact.,15.00,
INFRA,Senior Linux Administrator,Server Performance,"Server Hardening, Resource Tuning & Storage Management","• Optimize Linux kernel parameters, CPU/Memory utilization, and LVM storage pools. • Enforce CIS OS hardening benchmarks across 100% production server endpoints.",15.00,
INFRA,Senior Linux Administrator,Security & Access,"SSH Key Governance, LDAP/AD Integration & Security","• Enforce strict SSH key management, sudo access rights, and Active Directory integration. • Ensure zero unauthorized root access occurrences or unmonitored login attempts.",10.00,
INFRA,Senior Linux Administrator,Automation & Scripting,Shell / Python / Ansible Scripting & Automation,"• Automate routine OS health checks, log rotations, user creation, and backup scripts. • Drive automated configuration management using Ansible or Puppet playbooks.",10.00,
INFRA,Senior Linux Administrator,Monitoring & Recovery,"Server Telemetry, Backup Validations & SOPs","• Monitor OS health metrics (load average, disk I/O, swap) via Zabbix/Prometheus. • Ensure 100% daily OS system state backup execution and author recovery runbooks.",10.00,
INFRA,Senior Linux Administrator,Incident Handling,"OS Incident Resolution, RCA & Technical Skill Upgrade","• Resolve OS crash, kernel panic, and file system corruption incidents within SLA. • Publish detailed RCA reports for high-severity OS incidents and upskill junior admins.",10.00,
INFRA,Senior Manager,Internal / External Customer,External Client Infrastructure Incident Resolution CSAT,"• Achieve External Client CSAT Score >= 8.8/10 for infrastructure incident resolution and uptime SLAs. • Ensure timely, transparent incident communication and post-incident reporting to client leads.",15.00,
INFRA,Senior Manager,Internal / External Customer,Internal Technical Team Support & Service Desk CSAT,"• Achieve Internal Technical CSAT Score >= 8.8/10 from App Dev, QA & Implementation leads. • Fulfill internal environment provisioning and access requests within defined SLA bounds.",15.00,
INFRA,Senior Manager,Operational Slas,"Data Center, OS & Database Infrastructure SLA Governance","• Ensure 99.95%+ availability across assigned server, database, and network infrastructure pools. • Manage infrastructure change requests (CRs) and maintenance windows with zero unapproved downtime.",15.00,
INFRA,Senior Manager,Cost & Effort Control,Infra Asset Utilization & Effort Leakage Control,"• Optimize server sizing, virtualization ratios, and storage allocation to prevent resource wastage. • Keep infrastructure operational effort leakage/rework costs <= 5%.",15.00,
INFRA,Senior Manager,Quality & Incident Sla,Infrastructure Incident MTTR & Root Cause Analysis (RCA),• Reduce Mean Time to Resolve (MTTR < 30 mins) for priority P1/P2 infrastructure alerts. • Publish 100% comprehensive RCA reports within 24 hours of incident resolution.,10.00,
INFRA,Senior Manager,Risk & Audit Compliance,Infra Vulnerability Patching & Security Audit Compliance,"• Ensure 100% monthly security patch compliance across OS, DB, and network appliances. • Zero critical vulnerability findings in internal/external infrastructure security audits.",10.00,
INFRA,Senior Manager,Tracking & Dashboards,Infrastructure Health Monitoring & Capacity Planning,• Deploy 100% monitoring coverage across infra endpoints using Zabbix/Prometheus/Grafana. • Perform monthly capacity planning reviews to predict compute/storage/bandwidth bottlenecks early.,10.00,
INFRA,Senior Manager,People & Mentorship,"Infrastructure Team Guidance, On-Call Roster & Retention",• Oversee 24x7 on-call shift rosters and manage team duty allocations effectively. • Mentor system/network engineers and maintain team retention rate >= 88%.,10.00,
INFRA,Senior Network Engineer,Internal / External Customer,External Client Network Connectivity CSAT,"• Achieve External Client CSAT Score >= 8.8/10 on network stability, VPN access, and low latency. • Resolve client site-to-site VPN and connectivity tickets within defined SLA turnaround times.",15.00,
INFRA,Senior Network Engineer,Internal / External Customer,Internal Engineering & Security Team CSAT,"• Achieve Internal CSAT Score >= 8.8/10 from Application, Infrastructure & Security teams. • Provision network subnets, VLANs, and firewall access requests within 4 hours SLA.",15.00,
INFRA,Senior Network Engineer,Network Uptime,Core Network & Security Appliance Availability,"• Maintain 99.99% uptime across firewalls, switches, routers, VPN gateways, and load balancers. • Ensure zero unapproved network outages or routing loops across data center backbones.",15.00,
INFRA,Senior Network Engineer,Network Security,"Firewall Policy Management, DMZ Hardening & Intrusion Prevention","• Manage firewall rules (Cisco/Fortinet/Palo Alto), IPS/IDS definitions, and VPN tunnels. • Conduct regular rulebase audits to eliminate redundant or risky network access rules.",15.00,
INFRA,Senior Network Engineer,Vulnerability & Audit,"Network Security Audit, SIEM Log Analysis & Threat Mitigation","• Monitor SIEM logs and network traffic anomalies 24x7; mitigate security threats swiftly. • Ensure 100% compliance with network security audits, vulnerability scans, and penetration tests.",10.00,
INFRA,Senior Network Engineer,Bandwidth & Qos,"Bandwidth Management, Traffic Shaping & QoS Optimization","• Monitor ISP link utilization, WAN latency, and configure Quality of Service (QoS) policies. • Prevent network congestion bottlenecks during peak transactional volume hours.",10.00,
INFRA,Senior Network Engineer,Dr & Failover,"Network Failover Validation, Redundancy & SOPs","• Ensure 100% failover capability across redundant ISP links and secondary firewall pairs. • Author updated network topology diagrams, IP schema sheets, and disaster recovery SOPs.",10.00,
INFRA,Senior Network Engineer,Incident Response,"Network Incident Resolution, RCA & Certification","• Resolve network outages, packet loss, and VPN drop incidents within SLA bounds. • Publish RCAs for major network incidents and achieve advanced network/security certifications.",10.00,
INFRA,Senior OS - Administrator,Internal / External Customer,External Client OS Stability & Infrastructure CSAT,• Achieve External Client CSAT Score >= 8.8/10 on OS environment stability and uptime. • Support client infrastructure audits and technical environment validations.,15.00,
INFRA,Senior OS - Administrator,Internal / External Customer,"Internal Development, QA & Support Team CSAT","• Achieve Internal CSAT Score >= 8.8/10 from Application Development, QA & DevOps leads. • Provision Linux server instances and handle user access requests within SLA bounds.",15.00,
INFRA,Senior OS - Administrator,Os Availability,Senior Linux / OS Infrastructure Availability & Patch Management,• Maintain 99.95% server availability across RHEL/CentOS/Ubuntu enterprise environments. • Execute monthly OS kernel patching and vulnerability remediations with zero outage impact.,15.00,
INFRA,Senior OS - Administrator,Server Performance,"Server Hardening, Resource Tuning & Storage Management","• Optimize Linux kernel parameters, CPU/Memory utilization, and LVM storage pools. • Enforce CIS OS hardening benchmarks across 100% production server endpoints.",15.00,
INFRA,Senior OS - Administrator,Security & Access,"SSH Key Governance, LDAP/AD Integration & Security","• Enforce strict SSH key management, sudo access rights, and Active Directory integration. • Ensure zero unauthorized root access occurrences or unmonitored login attempts.",10.00,
INFRA,Senior OS - Administrator,Automation & Scripting,Shell / Python / Ansible Scripting & Automation,"• Automate routine OS health checks, log rotations, user creation, and backup scripts. • Drive automated configuration management using Ansible or Puppet playbooks.",10.00,
INFRA,Senior OS - Administrator,Monitoring & Recovery,"Server Telemetry, Backup Validations & SOPs","• Monitor OS health metrics (load average, disk I/O, swap) via Zabbix/Prometheus. • Ensure 100% daily OS system state backup execution and author recovery runbooks.",10.00,
INFRA,Senior OS - Administrator,Incident Handling,"OS Incident Resolution, RCA & Technical Skill Upgrade","• Resolve OS crash, kernel panic, and file system corruption incidents within SLA. • Publish detailed RCA reports for high-severity OS incidents and upskill junior admins.",10.00,
INFRA,Senior Software Analyst,Analytic Execution,Senior Infrastructure Software Analysis & System Performance Evaluation,"• Analyze infrastructure software logs, application performance metrics, and system behavior. • Identify performance bottlenecks and recommend technical code/config optimizations.",15.00,
INFRA,Senior Software Analyst,Internal / External Customer,External Client Technical Support & Service CSAT,"• Achieve External Client CSAT Score >= 8.8/10 on technical query resolution and issue analysis. • Provide clear, structured technical explanation reports to client engineering teams.",15.00,
INFRA,Senior Software Analyst,Internal / External Customer,Internal Development & Infrastructure Support CSAT,• Achieve Internal CSAT Score >= 8.8/10 from Application Development & Infra Operations leads. • Assist build teams with deep-dive root cause analysis and metric interpretation.,15.00,
INFRA,Senior Software Analyst,Quality & Defect,"Defect Analysis, System Testing & Quality Assurance","• Conduct thorough infrastructure software testing, regression checks, and integration analysis. • Maintain zero high-severity software defect leaks into production environments.",15.00,
INFRA,Senior Software Analyst,Security & Audit,Software Vulnerability Analysis & Compliance Checks,"• Analyze static code/config vulnerability scan results and enforce security remediation. • Ensure 100% compliance with software licensing, security policies, and audit benchmarks.",10.00,
INFRA,Senior Software Analyst,Automation & Dashboards,"Telemetry Analytics, Dashboarding & Scripting",• Build automated performance reporting dashboards using Grafana/ELK pipelines. • Automate log parsing and diagnostic metric extraction using Python/Shell scripts.,10.00,
INFRA,Senior Software Analyst,Documentation,"Technical Analysis Reports, System Flowcharts & SOPs","• Publish detailed technical analysis documents, system interaction flowcharts, and RCA guides. • Maintain up-to-date documentation repositories for infrastructure software modules.",10.00,
INFRA,Senior Software Analyst,Continuous Learning,Technical Skill Enhancement & Team Knowledge Sharing,"• Upskill on modern telemetry, APM tools (Datadog/Dynatrace), and cloud analytics frameworks. • Conduct knowledge-sharing sessions for L1/L2 support staff.",10.00,
INFRA,Software Analyst,Analytic Execution,Infrastructure Software Analysis & System Performance Evaluation,"• Analyze infrastructure software logs, application performance metrics, and system behavior. • Identify performance bottlenecks and recommend technical code/config optimizations.",15.00,
INFRA,Software Analyst,Internal / External Customer,External Client Technical Support & Service CSAT,"• Achieve External Client CSAT Score >= 8.8/10 on technical query resolution and issue analysis. • Provide clear, structured technical explanation reports to client engineering teams.",15.00,
INFRA,Software Analyst,Internal / External Customer,Internal Development & Infrastructure Support CSAT,• Achieve Internal CSAT Score >= 8.8/10 from Application Development & Infra Operations leads. • Assist build teams with deep-dive root cause analysis and metric interpretation.,15.00,
INFRA,Software Analyst,Quality & Defect,"Defect Analysis, System Testing & Quality Assurance","• Conduct thorough infrastructure software testing, regression checks, and integration analysis. • Maintain zero high-severity software defect leaks into production environments.",15.00,
INFRA,Software Analyst,Security & Audit,Software Vulnerability Analysis & Compliance Checks,"• Analyze static code/config vulnerability scan results and enforce security remediation. • Ensure 100% compliance with software licensing, security policies, and audit benchmarks.",10.00,
INFRA,Software Analyst,Automation & Dashboards,"Telemetry Analytics, Dashboarding & Scripting",• Build automated performance reporting dashboards using Grafana/ELK pipelines. • Automate log parsing and diagnostic metric extraction using Python/Shell scripts.,10.00,
INFRA,Software Analyst,Documentation,"Technical Analysis Reports, System Flowcharts & SOPs","• Publish detailed technical analysis documents, system interaction flowcharts, and RCA guides. • Maintain up-to-date documentation repositories for infrastructure software modules.",10.00,
INFRA,Software Analyst,Continuous Learning,Technical Skill Enhancement & Team Knowledge Sharing,"• Upskill on modern telemetry, APM tools (Datadog/Dynatrace), and cloud analytics frameworks. • Conduct knowledge-sharing sessions for L1/L2 support staff.",10.00,
INFRA,Sr. Oracle DBA,Database Uptime,"Sr. Oracle Database Availability, RAC & Data Guard Governance",• Maintain 99.99% database availability across production Oracle RAC & Data Guard standby nodes. • Ensure zero unapproved database downtime and sub-second transaction response times.,15.00,
INFRA,Sr. Oracle DBA,Internal / External Customer,External Client Database Reliability CSAT,• Achieve External Client CSAT Score >= 8.8/10 (9.0/10 for Sr.) on database stability and query TAT. • Resolve client database performance and data refresh queries within SLA bounds.,15.00,
INFRA,Sr. Oracle DBA,Internal / External Customer,Internal App Dev & SRE Team CSAT,"• Achieve Internal CSAT Score >= 8.8/10 (9.0/10 for Sr.) from Application Developers & SREs. • Provide prompt database schema execution, migration support, and query tuning guidance.",15.00,
INFRA,Sr. Oracle DBA,Performance Tuning,"Database Performance Tuning, RMAN Backup & Recovery","• Optimize SQL queries, index structures, SGA/PGA memory, and I/O bottlenecks. • Ensure 100% successful daily RMAN backup execution and quarterly restoration validations.",15.00,
INFRA,Sr. Oracle DBA,Security & Patching,"Database Security, CPU/PSU Patching & User Access Controls",• Deploy quarterly Oracle CPU/PSU security patches across 100% assigned database instances. • Enforce strict database user access governance and data encryption at rest/in transit.,10.00,
INFRA,Sr. Oracle DBA,Disaster Recovery,"Data Guard Sync, DR Drill Execution & RPO/RTO Targets","• Maintain zero Data Guard replication lag between primary and standby database sites. • Execute bi-annual DR drills successfully, meeting RPO=0 and RTO < 15 mins targets.",10.00,
INFRA,Sr. Oracle DBA,Monitoring & Sops,"Database Health Monitoring, Space Management & SOPs","• Monitor OEM (Oracle Enterprise Manager) alerts, tablespace growth, and archivelog usage 24x7. • Author standard database backup/recovery SOPs and maintenance runbooks.",10.00,
INFRA,Sr. Oracle DBA,Troubleshooting & Skills,"Database Incident Resolution, RCA & Skill Upgrade","• Resolve database locks, deadlock incidents, and performance degradation within target SLA. • Complete advanced Oracle certifications (OCI/RAC) and share knowledge with junior DBAs.",10.00,
INFRA,Weblogic Administrator,Internal / External Customer,External Client Application Middleware CSAT,• Achieve External Client CSAT Score >= 8.8/10 on middleware platform stability and responsiveness. • Support client production deployments and SSL certificate updates with zero downtime.,15.00,
INFRA,Weblogic Administrator,Internal / External Customer,Internal App Dev & DevOps Team CSAT,"• Achieve Internal CSAT Score >= 8.8/10 from Application Development, QA & Deployment leads. • Deploy application WAR/EAR builds on schedule and resolve deployment errors swiftly.",15.00,
INFRA,Weblogic Administrator,Middleware Uptime,Oracle WebLogic / Middleware Environment Availability,"• Maintain 99.95% uptime across enterprise Oracle WebLogic, Tomcat, and WebSphere domains. • Ensure high availability clustering, managed server stability, and zero application thread hangs.",15.00,
INFRA,Weblogic Administrator,Performance Tuning,"JVM Heap Tuning, Thread Pool & Connection Pool Optimization","• Tune JVM garbage collection (GC) parameters, thread pools, and JDBC data source connections. • Prevent OutOfMemory (OOM) errors and optimize application response latency.",15.00,
INFRA,Weblogic Administrator,Security & Ssl,"Middleware Security Patching, SSL / TLS Management & Hardening",• Apply quarterly Oracle WebLogic CPU security patches across 100% assigned domains. • Manage SSL/TLS certificate renewals and enforce secure communication protocols.,10.00,
INFRA,Weblogic Administrator,Automation & Deployment,WLST / WLDF Scripting & Automated Deployment Pipelines,"• Automate WebLogic domain creation, deployment, and monitoring using WLST / Python scripts. • Integrate middleware deployments with CI/CD automation tools.",10.00,
INFRA,Weblogic Administrator,Monitoring & Logs,"Log Monitoring, Thread Dump Analysis & SOPs","• Monitor WebLogic diagnostic framework (WLDF) alerts, thread stuck conditions, and server logs. • Author standard middleware deployment runbooks and thread/heap dump analysis SOPs.",10.00,
INFRA,Weblogic Administrator,Troubleshooting,"Middleware Incident Resolution, RCA & Technical Skill Upgrade","• Resolve middleware crashes, JDBC connection pool timeouts, and deployment errors within SLA. • Document RCA reports for critical middleware outages and upskill on cloud middleware technologies.",10.00,
IT,Business Analyst,Financial,Requirement Estimation & Scope Variance Control,Deliver clear functional spec ensuring requirement gap causing CR cost variance < 5%,20.00,Sourced from Functional / Delivery / Product / Business Analyst [Set corrected 25-Sep-2026]
IT,Business Analyst,Financial,Cost-Effective Feature Specification,Zero budget overrun resulting from requirement ambiguity or missed business logic,15.00,Sourced from Functional / Delivery / Product / Business Analyst [Set corrected 25-Sep-2026]
IT,Business Analyst,Project / Process,BRD / FSD Creation & Use Case Mapping,100% FSD sign-off by client/product owner before development initiation,25.00,Sourced from Functional / Delivery / Product / Business Analyst [Set corrected 25-Sep-2026]
IT,Business Analyst,Project / Process,UAT Support & Functional Verification,Support UAT execution with zero critical requirement gaps identified during UAT phase,20.00,Sourced from Functional / Delivery / Product / Business Analyst [Set corrected 25-Sep-2026]
IT,Business Analyst,Internal / External Customer,Requirement Walkthroughs & Stakeholder Query SLA,Respond to requirement clarification queries from dev/QA team within 24 hours SLA,10.00,Sourced from Functional / Delivery / Product / Business Analyst [Set corrected 25-Sep-2026]
IT,Business Analyst,People,Domain Upskilling & Continuous Learning,Complete domain & product training; 40 hours of professional development annually,10.00,Sourced from Functional / Delivery / Product / Business Analyst [Set corrected 25-Sep-2026]
IT,Consultant - DevOps,Financial,Cloud Infrastructure Cost & Resource Optimization,Maintain cloud infra budget variance within approved limits; zero idle resource waste,15.00,Sourced from DevOps & Engineering / DevOps Engineer [Set corrected 25-Sep-2026]
IT,Consultant - DevOps,Financial,Prevent Production Downtime Penalties,Maintain 99.9% availability across deployment pipelines and managed environments,10.00,Sourced from DevOps & Engineering / DevOps Engineer [Set corrected 25-Sep-2026]
IT,Consultant - DevOps,Project / Process,CI/CD Pipeline Automation & Build Release Efficiency,100% automated CI/CD pipeline implementation; reduce manual deployment effort by 25%,20.00,Sourced from DevOps & Engineering / DevOps Engineer [Set corrected 25-Sep-2026]
IT,Consultant - DevOps,Project / Process,"Infrastructure Security, OS Patching & Compliance Audit",0 critical vulnerabilities in OS/Cloud setup; monthly patch audit compliance,15.00,Sourced from DevOps & Engineering / DevOps Engineer [Set corrected 25-Sep-2026]
IT,Consultant - DevOps,Project / Process,"Incident Monitoring, Alerting & Root Cause Analysis (RCA)",MTTR < 1 hour for major incidents; submit RCA within 24 hours of incident resolution,15.00,Sourced from DevOps & Engineering / DevOps Engineer [Set corrected 25-Sep-2026]
IT,Consultant - DevOps,Internal / External Customer,Environment Provisioning & Deployment Support SLA,95%+ on-time environment provisioning and release deployment SLA adherence for dev/QA teams,12.00,Sourced from DevOps & Engineering / DevOps Engineer [Set corrected 25-Sep-2026]
IT,Consultant - DevOps,People,DevOps Runbook Documentation & Skill Upgrading,Maintain 100% updated DevOps runbooks; complete 40 hrs annual cloud/DevOps training,13.00,Sourced from DevOps & Engineering / DevOps Engineer [Set corrected 25-Sep-2026]
IT,DevOps Engineer,Financial,Cloud Infrastructure Cost & Resource Optimization,Maintain cloud infra budget variance within approved limits; zero idle resource waste,15.00,Sourced from DevOps & Engineering / DevOps Engineer
IT,DevOps Engineer,Financial,Prevent Production Downtime Penalties,Maintain 99.9% availability across deployment pipelines and managed environments,10.00,Sourced from DevOps & Engineering / DevOps Engineer
IT,DevOps Engineer,Project / Process,CI/CD Pipeline Automation & Build Release Efficiency,100% automated CI/CD pipeline implementation; reduce manual deployment effort by 25%,20.00,Sourced from DevOps & Engineering / DevOps Engineer
IT,DevOps Engineer,Project / Process,"Infrastructure Security, OS Patching & Compliance Audit",0 critical vulnerabilities in OS/Cloud setup; monthly patch audit compliance,15.00,Sourced from DevOps & Engineering / DevOps Engineer
IT,DevOps Engineer,Project / Process,"Incident Monitoring, Alerting & Root Cause Analysis (RCA)",MTTR < 1 hour for major incidents; submit RCA within 24 hours of incident resolution,15.00,Sourced from DevOps & Engineering / DevOps Engineer
IT,DevOps Engineer,Internal / External Customer,Environment Provisioning & Deployment Support SLA,95%+ on-time environment provisioning and release deployment SLA adherence for dev/QA teams,12.00,Sourced from DevOps & Engineering / DevOps Engineer
IT,DevOps Engineer,People,DevOps Runbook Documentation & Skill Upgrading,Maintain 100% updated DevOps runbooks; complete 40 hrs annual cloud/DevOps training,13.00,Sourced from DevOps & Engineering / DevOps Engineer
IT,Senior Manager,Financial,Optimize IT and security infrastructure costs while enhancing risk management,1.1 Maintain budgeted IT infrastructure and security costs | Source: Budget Review,9.00,"RBI Compliances, New customer expecations, Increase in agreed SoW, Audit observations; File says ""Development team"" but content is IT and security infrastructure; Sourced from IT / Manager - IT & Security"
IT,Senior Manager,Project / Process,Streamline IT & Security operations with focus on automation,"2.1 Reduce high-severity security incidents by 20% | Source: ITSM Tools dahsboards, Customer Reviews",14.00,"Not considering false positives; File says ""Development team"" but content is IT and security infrastructure; Sourced from IT / Manager - IT & Security"
IT,Senior Manager,Project / Process,Decrease average incident mitigations time by 10%,"Data source: ITSM Tools dahsboards, Customer Reviews",13.00,"Third party dependency, OEM Dependecies; File says ""Development team"" but content is IT and security infrastructure; Sourced from IT / Manager - IT & Security"
IT,Senior Manager,Project / Process,Achieve 100% compliance with RBI and NPCI security guidelines within reasonable time,"Data source: Internal and External Audits, Comments & feedback by customer top management",9.00,"Out Scope items, Accepted risks & business justifications, Risk Justifications; File says ""Development team"" but content is IT and security infrastructure; Sourced from IT / Manager - IT & Security"
IT,Senior Manager,Project / Process,Implement predictive maintenance to reduce unplanned downtime due to capacity issues,Data source: Incidents dashboards and root causes,9.00,"Application and other integration not directly with cloud / IT team, Third party depencies, OEM dependencies; File says ""Development team"" but content is IT and security infrastructure; Sourced from IT / Manager - IT & Security"
IT,Senior Manager,Project / Process,Streamline IT Infrastructure,2.1 Reduce Infra incidents by 20%,10.00,Single stray row in an untitled tab; Sourced from IT / Manager - IT & Security
IT,Senior Manager,Internal / External Customer,Enhance external customer trust through robust measures and communication,3.1 Achieve 70% satisfaction rate in IT services survey & Audits | Source: Surveys and Feedback,9.00,"Biases ( Recency bias, brand impacts, unrelated projections); File says ""Development team"" but content is IT and security infrastructure; Sourced from IT / Manager - IT & Security"
IT,Senior Manager,Internal / External Customer,Reduce customer-reported security concerns within a reasonable time by 25%,"Data source: Surveys and Feedback, Security Reports by Clients",9.00,"Out Scope items, Accepted risks & business justifications, Risk Justifications, Application closures issues, OEM & Third party dependency; File says ""Development team"" but content is IT and security infrastructure; Sourced from IT / Manager - IT & Security"
IT,Senior Manager,People,Voluntary Attrition Control & Employer-Emplopyee satisfaction,4.1 Less than equal to organization target of 15% | Source: HRMS,9.00,"Attributing to brand & salary, dissatisfaction on appraisals, Work Pressure; File says ""Development team"" but content is IT and security infrastructure; Sourced from IT / Manager - IT & Security"
IT,Senior Manager,People,All critical resources to complete emerging threat / technology trainings,Data source: Training Records,9.00,"Non-Sponsored trainings can impact relevancy; File says ""Development team"" but content is IT and security infrastructure; Sourced from IT / Manager - IT & Security"
IT,Senior Software Developer,Financial,Project milestone delivery & CR budget adherence,100% milestone delivery on schedule; zero out-of-fund production issues,15.00,[Set corrected 25-Sep-2026]
IT,Senior Software Developer,Financial,Effort estimation & resource optimization,Variance between estimated vs actual coding effort < 8%,10.00,[Set corrected 25-Sep-2026]
IT,Senior Software Developer,Project / Process,"Code review, security & architectural compliance",Defect ratio < 3%; 100% compliance with OWASP / security audit,20.00,[Set corrected 25-Sep-2026]
IT,Senior Software Developer,Project / Process,CAB & CCB review clearance,90%+ adherence to compliance; clearance on first meeting,15.00,[Set corrected 25-Sep-2026]
IT,Senior Software Developer,Project / Process,Process automation & CI/CD pipeline usage,Implement automated unit testing / build pipeline for assigned modules,10.00,[Set corrected 25-Sep-2026]
IT,Senior Software Developer,Internal / External Customer,Client escalation response & resolution,Resolution within 24 hrs for critical issues; CSAT >= 8.5/10,15.00,[Set corrected 25-Sep-2026]
IT,Senior Software Developer,People,"Mentorship, KT sessions & training",Conduct min 1 KT session/month; ensure 40 hrs self-learning & team mentorship,15.00,[Set corrected 25-Sep-2026]
IT,Senior System Admin,Project / Process,Logging and tracking support requests through ticketing systems to ensure timely resolution.,95% tickets should be closed based on SLA,10.00,Sourced from IT / IT Operations Executive
IT,Senior System Admin,Project / Process,Proactive maintenance Of systems and security,100% of system should be complaint with latest security updates,10.00,Sourced from IT / IT Operations Executive
IT,Senior System Admin,Project / Process,Inventory of systems,100% Accurate and updated records shared on weekly basis,10.00,Sourced from IT / IT Operations Executive
IT,Senior System Admin,Project / Process,System Maintenance & Availability,100% of system should be complaint and available,10.00,Sourced from IT / IT Operations Executive
IT,Senior System Admin,Internal / External Customer,User Support and Training,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Senior System Admin,Internal / External Customer,Process Optimization,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Senior System Admin,Internal / External Customer,"Communication, Collaboration and Coordination",100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Senior System Admin,People,Training & skill development,40 hours of training in a year arranged by MGS,10.00,Sourced from IT / IT Operations Executive
IT,Senior System Admin,People,Interpersonal skills,No Major Escalation for behavioral issues,10.00,Sourced from IT / IT Operations Executive
IT,Senior System Admin,People,Knowledge Management & Documentation,2 KB documents per quarter,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,Project / Process,Logging and tracking support requests through ticketing systems to ensure timely resolution.,95% tickets should be closed based on SLA,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,Project / Process,Proactive maintenance Of systems and security,100% of system should be complaint with latest security updates,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,Project / Process,Inventory of systems,100% Accurate and updated records shared on weekly basis,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,Project / Process,System Maintenance & Availability,100% of system should be complaint and available,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,Internal / External Customer,User Support and Training,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,Internal / External Customer,Process Optimization,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,Internal / External Customer,"Communication, Collaboration and Coordination",100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,People,Training & skill development,40 hours of training in a year arranged by MGS,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,People,Interpersonal skills,No Major Escalation for behavioral issues,10.00,Sourced from IT / IT Operations Executive
IT,System Administrator,People,Knowledge Management & Documentation,2 KB documents per quarter,10.00,Sourced from IT / IT Operations Executive
IT,Team Lead,Project / Process,Logging and tracking support requests through ticketing systems to ensure timely resolution.,95% tickets should be closed based on SLA,10.00,Sourced from IT / IT Operations Executive
IT,Team Lead,Project / Process,Proactive maintenance Of systems and security,100% of system should be complaint with latest security updates,10.00,Sourced from IT / IT Operations Executive
IT,Team Lead,Project / Process,Inventory of systems,100% Accurate and updated records shared on weekly basis,10.00,Sourced from IT / IT Operations Executive
IT,Team Lead,Project / Process,System Maintenance & Availability,100% of system should be complaint and available,10.00,Sourced from IT / IT Operations Executive
IT,Team Lead,Internal / External Customer,User Support and Training,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Team Lead,Internal / External Customer,Process Optimization,100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Team Lead,Internal / External Customer,"Communication, Collaboration and Coordination",100% Adherenace to guidelines,10.00,Sourced from IT / IT Operations Executive
IT,Team Lead,People,Training & skill development,40 hours of training in a year arranged by MGS,10.00,Sourced from IT / IT Operations Executive
